Date,Temp_deg_C,pH_units,,
2015-05-20T21:45:00Z,17.99,7.24,0,0
2015-05-20T22:00:00Z,17.97,7.22,0,0
2015-05-20T22:15:00Z,17.93,7.21,0,0
2015-05-20T22:30:00Z,17.88,7.19,0,0
2015-05-20T22:45:00Z,17.84,7.18,0,0
2015-05-20T23:00:00Z,17.81,7.17,0,0
2015-05-20T23:15:00Z,17.75,7.16,0,0
2015-05-20T23:30:00Z,17.71,7.16,0,0
2015-05-20T23:45:00Z,17.68,7.15,0,0
2015-05-21T00:00:00Z,17.64,7.14,0,0
2015-05-21T00:15:00Z,17.6,7.13,0,0
2015-05-21T00:30:00Z,17.56,7.12,0,0
2015-05-21T00:45:00Z,17.53,7.12,0,0
2015-05-21T01:00:00Z,17.5,7.11,0,0
2015-05-21T01:15:00Z,17.46,7.11,0,0
2015-05-21T01:30:00Z,17.43,7.11,0,0
2015-05-21T01:45:00Z,17.4,7.11,0,0
2015-05-21T02:00:00Z,17.36,7.1,0,0
2015-05-21T02:15:00Z,17.33,7.1,0,0
2015-05-21T02:30:00Z,17.3,7.1,0,0
2015-05-21T02:45:00Z,17.26,7.1,0,0
2015-05-21T03:00:00Z,17.22,7.1,0,0
2015-05-21T03:15:00Z,17.19,7.1,0,0
2015-05-21T03:30:00Z,17.14,7.1,0,0
2015-05-21T03:45:00Z,17.12,7.1,0,0
2015-05-21T04:00:00Z,17.07,7.1,0,0
2015-05-21T04:15:00Z,17.04,7.1,0,0
2015-05-21T04:30:00Z,17,7.1,0,0
2015-05-21T04:45:00Z,16.96,7.1,0,0
2015-05-21T05:00:00Z,16.92,7.1,0,0
2015-05-21T05:15:00Z,16.88,7.09,0,0
2015-05-21T05:30:00Z,16.85,7.09,0,0
2015-05-21T05:45:00Z,16.8,7.09,0,0
2015-05-21T06:00:00Z,16.76,7.08,0,0
2015-05-21T06:15:00Z,16.72,7.08,0,0
2015-05-21T06:30:00Z,16.68,7.07,0,0
2015-05-21T06:45:00Z,16.64,7.07,0,0
2015-05-21T07:00:00Z,16.61,7.06,0,0
2015-05-21T07:15:00Z,16.57,7.06,0,0
2015-05-21T07:30:00Z,16.53,7.05,0,0
2015-05-21T07:45:00Z,16.5,7.04,0,0
2015-05-21T08:00:00Z,16.45,7.03,0,0
2015-05-21T08:15:00Z,16.42,7.03,0,0
2015-05-21T08:30:00Z,16.39,7.02,0,0
2015-05-21T08:45:00Z,16.35,7.02,0,0
2015-05-21T09:00:00Z,16.31,7.01,0,0
2015-05-21T09:15:00Z,16.27,7.01,0,0
2015-05-21T09:30:00Z,16.24,7,0,0
2015-05-21T09:45:00Z,16.21,6.99,0,0
2015-05-21T10:00:00Z,16.19,6.99,0,0
2015-05-21T10:15:00Z,16.16,6.99,0,0
2015-05-21T10:30:00Z,16.14,6.99,0,0
2015-05-21T10:45:00Z,16.12,6.99,0,0
2015-05-21T11:00:00Z,16.11,6.99,0,0
2015-05-21T11:15:00Z,16.11,6.99,0,0
2015-05-21T11:30:00Z,16.11,6.99,0,0
2015-05-21T11:45:00Z,16.1,7,0,0
2015-05-21T12:00:00Z,16.14,7.01,0,0
2015-05-21T12:15:00Z,16.17,7.01,0,0
2015-05-21T12:30:00Z,16.15,7.01,0,0
2015-05-21T12:45:00Z,16.11,7.01,0,0
2015-05-21T13:00:00Z,16.11,7.02,0,0
2015-05-21T13:15:00Z,16.13,7.02,0,0
2015-05-21T13:30:00Z,16.12,7.02,0,0
2015-05-21T13:45:00Z,16.11,7.02,0,0
2015-05-21T14:00:00Z,16.14,7.03,0,0
2015-05-21T14:15:00Z,16.19,7.05,0,0
2015-05-21T14:30:00Z,16.27,7.07,0,0
2015-05-21T14:45:00Z,16.32,7.08,0,0
2015-05-21T15:00:00Z,16.38,7.1,0,0
2015-05-21T15:15:00Z,16.48,7.11,0,0
2015-05-21T15:30:00Z,16.55,7.12,0,0
2015-05-21T15:45:00Z,16.61,7.13,0,0
2015-05-21T16:00:00Z,16.65,7.13,0,0
2015-05-21T16:15:00Z,16.65,7.11,0,0
2015-05-21T16:30:00Z,16.62,7.11,0,0
2015-05-21T16:45:00Z,16.66,7.12,0,0
2015-05-21T17:00:00Z,16.71,7.11,0,0
2015-05-21T17:15:00Z,16.78,7.12,0,0
2015-05-21T17:30:00Z,16.81,7.12,0,0
2015-05-21T17:45:00Z,16.78,7.12,0,0
2015-05-21T18:00:00Z,16.8,7.12,0,0
2015-05-21T18:15:00Z,16.84,7.12,0,0
2015-05-21T18:30:00Z,16.94,7.12,0,0
2015-05-21T18:45:00Z,17.01,7.13,0,0
2015-05-21T19:00:00Z,17.05,7.13,0,0
2015-05-21T19:15:00Z,17.08,7.14,0,0
2015-05-21T19:30:00Z,17.14,7.14,0,0
2015-05-21T19:45:00Z,17.17,7.14,0,0
2015-05-21T20:00:00Z,17.19,7.14,0,0
2015-05-21T20:15:00Z,17.24,7.15,0,0
2015-05-21T20:30:00Z,17.25,7.15,0,0
2015-05-21T20:45:00Z,17.27,7.14,0,0
2015-05-21T21:00:00Z,17.28,7.14,0,0
2015-05-21T21:15:00Z,17.28,7.14,0,0
2015-05-21T21:30:00Z,17.26,7.13,0,0
2015-05-21T21:45:00Z,17.25,7.13,0,0
2015-05-21T22:00:00Z,17.24,7.13,0,0
2015-05-21T22:15:00Z,17.22,7.12,0,0
2015-05-21T22:30:00Z,17.21,7.12,0,0
2015-05-21T22:45:00Z,17.19,7.11,0,0
2015-05-21T23:00:00Z,17.16,7.11,0,0
2015-05-21T23:15:00Z,17.16,7.11,0,0
2015-05-21T23:30:00Z,17.14,7.11,0,0
2015-05-21T23:45:00Z,17.12,7.1,0,0
2015-05-22T00:00:00Z,17.11,7.1,0,0
2015-05-22T00:15:00Z,17.09,7.09,0,0
2015-05-22T00:30:00Z,17.06,7.09,0,0
2015-05-22T00:45:00Z,17.03,7.09,0,0
2015-05-22T01:00:00Z,17,7.09,0,0
